airportName,airporCity,airportCountryCode,airportContinent,airporElevation
Lewis University Airport,Chicago/Romeoville,US,NA,679
Brisbane International Airport,Brisbane,AU,OC,13
Fort Hope Airport,Fort Hope,CA,NA,899
Forbes Airport,Forbes,AU,OC,760
Ubatuba Airport,Ubatuba,BR,SA,13
Sanford Seacoast Regional Airport,Sanford,US,NA,244
Cape Air Seaplanes on Boston Harbor Seaplane Base,Boston,US,NA,0
Barquisimeto International Airport,Barquisimeto,VE,SA,2042
Selebi Phikwe Airport,,BW,AF,2925
Loring Seaplane Base,Loring,US,NA,0
Mount Etjo Airport,Mount Etjo Safari Lodge,NA,AF,5000
Naval Outlying Field Imperial Beach (Ream Field),Imperial Beach,US,NA,24
Jorge Wilsterman International Airport,Cochabamba,BO,SA,8360
Nioro du Sahel Airport,Nioro du Sahel,ML,AF,778
Urubupunga Airport,Castilho,BR,SA,1169
Avenger Field,Sweetwater,US,NA,2380
Eugene F. Correira International Airport,Ogle,GY,SA,10
Magas Airport,Magas,RU,EU,1165
Atka Airport,Atka,US,NA,57
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,DZ,AF,2661
Taylor County Airport,Medford,US,NA,1478
Khatgal Airport,Hatgal,MN,AS,5500
Dahl Creek Airport,Dahl Creek,US,NA,260
Ilimanaq Heliport,Ilimanaq,GL,NA,52
St Aubin Airport,Dieppe,FR,EU,344
Springdale Municipal Airport,Springdale,US,NA,1353
Aswan International Airport,Aswan,EG,AF,662
Meadow Lake Airport,Meadow Lake,CA,NA,1576
Palmas del Mar Airstrip,Palmas del Mar,PR,NA,100
Cravo Norte Airport,Cravo Norte,CO,SA,341
Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US,NA,3967
Trieste–Friuli Venezia Giulia Airport,Trieste,IT,EU,39
Bornholm Airport,Rønne,DK,EU,52
Opuwa Airport,Opuwa,NA,AF,3770
Hooper Bay Airport,Hooper Bay,US,NA,13
Typliy Klyuch Airport,Khandyga,RU,EU,925
Mettel Field,Connersville,US,NA,867
Sungai Tiang Airport,Taman Negara,MY,AS,10
Þingeyri Airport,Þingeyri,IS,EU,65
Erie International Tom Ridge Field,Erie,US,NA,732
Grant County Airport,Silver City,US,NA,5446
Xoxocotlán International Airport,Oaxaca,MX,NA,4989
Kayseri Erkilet Airport,Kayseri,TR,AS,3463
Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,EU,1998
Memanbetsu Airport,Ōzora,JP,AS,135
Lianshui Airport,Huai'an,CN,AS,28
Saenz Peña Airport,Presidencia Roque Sáenz Peña,AR,SA,20
Korla Airport,Korla,CN,AS,
Amman-Marka International Airport,Amman,JO,AS,2555
Nulato Airport,Nulato,US,NA,399
Asirim Airport,,PG,OC,1050
V.C. Bird International Airport,St. John's,AG,NA,62
Schwerin Parchim Airport,,DE,EU,166
Cottbus-Drewitz Airport,Cottbus,DE,EU,272
Chumphon Airport,,TH,AS,18
Fukuoka Airport,Fukuoka,JP,AS,32
RAF Lossiemouth,Lossiemouth,GB,EU,42
Ilorin International Airport,Ilorin,NG,AF,1126
Easton Newnam Field,Easton,US,NA,72
Alameda Naval Air Station,Alameda,US,NA,10
Timbunke Airport,Timbunke,PG,OC,24
Tianshui Maijishan Airport,Tianshui,CN,AS,3590
Teniente Coronel Rafael Pabón Airport,Villamontes,BO,SA,1305
M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,GA,AF,1450
Mukeiras Airport,Mukayras,YE,AS,7080
Sultan Abdul Aziz Shah International Airport,Subang,MY,AS,90
Assab International Airport,Asab,ER,AF,46
Cadjehoun Airport,Cotonou,BJ,AF,19
Jurien Bay Airport,,AU,OC,15
Naha Airport,Naha,JP,AS,12
Rajouri Airport,Rajouri,IN,AS,3000
Yuruf Airport,Amgotro,ID,AS,1844
Rajkot Airport,Rajkot,IN,AS,441
Nukutepipi Airport,Nukutepipi,PF,OC,32
Cheyenne Regional Jerry Olson Field,Cheyenne,US,NA,6159
Rutland - Southern Vermont Regional Airport,Rutland,US,NA,787
Christiansted Harbor Seaplane Base,Christiansted St Croix,VI,NA,
Xiamen Gaoqi International Airport,Xiamen,CN,AS,59
Bristol Filton Airport,Bristol,GB,EU,226
Hihifo Airport,Wallis Island,WF,OC,79
Quincy Regional Baldwin Field,Quincy,US,NA,768
Norway House Airport,Norway House,CA,NA,734
Nyurba Airport,Nyurba,RU,EU,394
Tapachula International Airport,Tapachula,MX,NA,97
Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,PT,EU,374
Cocos (Keeling) Islands Airport,Cocos (Keeling) Islands,CC,AS,10
Spokane International Airport,Spokane,US,NA,2376
Oshakati Airport,Oshakati,NA,AF,3616
Doongan Airport,,AU,OC,
Turaif Domestic Airport,Turaif,SA,AS,2803
Vandalia Municipal Airport,Vandalia,US,NA,537
Broome International Airport,Broome,AU,OC,56
Saransk Airport,Saransk,RU,EU,676
Kissidougou Airport,Kissidougou,GN,AF,1808
Page Municipal Airport,Page,US,NA,4316
Vijayawada Airport,,IN,AS,82
Bulgan Airport,Bulgan,MN,AS,4311
Mutiara Airport,Palu-Celebes Island,ID,AS,284
Devils Lake Regional Airport,Devils Lake,US,NA,1456
Ocean Reef Club Airport,Key Largo,US,NA,8
Dalnerechensk Airport,Dalnerechensk,RU,EU,272
Ioma Airport,Ioma,PG,OC,95
Bazhong Enyang Airport,Bazhong,CN,AS,1804
Bremerton National Airport,Bremerton,US,NA,444
Almirante Marco Andres Zar Airport,Rawson,AR,SA,141
Jilin Airport,Jilin,CN,AS,
Gatlinburg-Pigeon Forge Airport,Sevierville,US,NA,1014
Hollis Clark Bay Seaplane Base,Hollis,US,NA,0
Antsirabe Airport,Antsirabe,MG,AF,4997
Sa Pran Nak Airport,,TH,AS,95
St George Airport,St George,US,NA,125
Al Dhafra Air Base,,AE,AS,77
Kuujjuaq Airport,Kuujjuaq,CA,NA,129
Lima Allen County Airport,Lima,US,NA,975
Syktyvkar Airport,Syktyvkar,RU,EU,342
Colombo Ratmalana Airport,Colombo,LK,AS,22
Lethbridge County Airport,Lethbridge,CA,NA,3048
Tillamook Airport,Tillamook,US,NA,36
Bamiyan Airport,Bamiyan,AF,AS,8367
Gods River Airport,Gods River,CA,NA,627
Ihu Airport,Ihu,PG,OC,70
Moala Airport,Moala,FJ,OC,13
Sidi Ifni Xx Airport,Sidi Ifni,MA,AF,190
Dane County Regional Truax Field,Madison,US,NA,887
Huntingburg Airport,Huntingburg,US,NA,529
Columbus Air Force Base,Columbus,US,NA,219
Concord-Padgett Regional Airport,Concord,US,NA,705
Bensbach Airport,Bensbach,PG,OC,30
Cape Lisburne LRRS Airport,Cape Lisburne,US,NA,16
Tirana International Airport Mother Teresa,Tirana,AL,EU,126
Kerema Airport,Kerema,PG,OC,10
Biggs Army Air Field (Fort Bliss),Fort Bliss/El Paso,US,NA,3946
Enua Airport,Atiu Island,CK,OC,36
Labasa Airport,,FJ,OC,44
Nuevo Casas Grandes Airport,,MX,NA,4850
Dongola Airport,Dongola,SD,AF,772
Mulatupo Airport,Mulatupo,PA,NA,15
Chatham Islands-Tuuta Airport,Waitangi,NZ,OC,43
Perry Stokes Airport,Trinidad,US,NA,5762
New Century Aircenter Airport,Olathe,US,NA,1087
Hooper Bay Airport,Hooper Bay,US,NA,13
Vancouver International Airport,Vancouver,CA,NA,14
Stronsay Airport,Stronsay,GB,EU,39
Ohrid St. Paul the Apostle Airport,Ohrid,MK,EU,2313
D. Casimiro Szlapelis Airport,Alto Rio Senguerr,AR,SA,2286
Nomane Airport,Namane,PG,OC,6032
Oryol Yuzhny Airport,Orel,RU,EU,656
Arenal Airport,La Fortuna/San Carlos,CR,NA,342
La Laguna Airport,Guanaja,HN,NA,49
Andre Maggi Airport,Cotriguaçu,BR,SA,900
Safford Regional Airport,Safford,US,NA,3179
Ambohibary Airport,Moramanga,MG,AF,2960
Joplin Regional Airport,Joplin,US,NA,981
Nanded Airport,Nanded,IN,AS,1250
General Mariano Matamoros Airport,,MX,NA,4277
St. Paul Airport,St. Paul,CA,NA,2147
Akhiok Airport,Akhiok,US,NA,44
Sidney - Richland Regional Airport,Sidney,US,NA,1985
Ganja Airport,Ganja,AZ,AS,1083
Dracena Airport,Dracena,BR,SA,1220
Athen Helenikon Airport,Athens,GR,EU,69
Manitoulin East Municipal Airport,Manitowaning,CA,NA,869
Richard B Russell Airport,Rome,US,NA,644
Dubois Municipal Airport,Dubois,US,NA,5123
Mosteiros Airport,Vila do Mosteiros,CV,AF,66
Cakung Airport,Baucau,TL,AS,1771
Cambridge Bay Airport,Cambridge Bay,CA,NA,90
Istanbul Airport,Istanbul,TR,AS,325
Ubon Ratchathani Airport,Ubon Ratchathani,TH,AS,406
Şanlıurfa Airport,Şanlıurfa,TR,AS,1483
Sultan Mahmud Airport,Kuala Terengganu,MY,AS,21
Ordos Ejin Horo Airport,Ordos,CN,AS,4557
Orang Airport,Hoemun-ri,KP,AS,12
Ouro Sogui Airport,Matam,SN,AF,85
Passikudah Helipad,Batticaloa,LK,AS,26
Coimbatore International Airport,Coimbatore,IN,AS,1324
Embessa Airport,Embessa,PG,OC,131
Thompson Falls Airport,Thompson Falls,US,NA,2467
Mabaruma Airport,Mabaruma,GY,SA,45
Griffing Sandusky Airport,Sandusky,US,NA,580
Aviano Air Base,Aviano (PN),IT,EU,410
Santa Terezinha Airport,Joaçaba,BR,SA,2546
Okaba Airport,Okaba-Papua Island,ID,AS,23
Alamogordo White Sands Regional Airport,Alamogordo,US,NA,4200
Garoua International Airport,Garoua,CM,AF,794
Crossville Memorial Whitson Field,Crossville,US,NA,1881
Mariscal Lamar Airport,Cuenca,EC,SA,8306
Gävle Sandviken Airport,Gävle / Sandviken,SE,EU,224
Kongolo Airport,Kongolo,CD,AF,1850
Big Bear City Airport,Big Bear,US,NA,6752
Raufarhöfn Airport,Raufarhöfn,IS,EU,39
Sovetskiy Airport,Sovetskiy,RU,AS,351
Nikunau Airport,Nikunau,KI,OC,6
Albi-Le Séquestre Airport,Albi/Le Séquestre,FR,EU,564
Chiang Mai International Airport,Chiang Mai,TH,AS,1036
Roosevelt Municipal Airport,Roosevelt,US,NA,5172
Carriel Sur Airport,Concepcion,CL,SA,26
Maloelap Island Airport,Maloelap Island,MH,OC,4
Guardiamarina Zañartu Airport,Puerto Williams,CL,SA,88
Juan Manuel Galvez International Airport,Roatan Island,HN,NA,39
Narvik Framnes Airport,Narvik,NO,EU,95
Lubang Airport,,PH,AS,43
Batagay Airport,Batagay,RU,AS,696
Marshall Memorial Municipal Airport,Marshall,US,NA,779
Orinduik Airport,Orinduik,GY,SA,1797
Flensburg-Schäferhaus Airport,Flensburg,DE,EU,131
Pécs-Pogány Airport,Pécs-Pogány,HU,EU,1000
Kalamazoo Battle Creek International Airport,Kalamazoo,US,NA,874
Gallatin Field,Bozeman,US,NA,4473
King Island Airport,,AU,OC,132
CFB Trenton,Trenton,CA,NA,283
Humberto Ghizzo Bortoluzzi Regional Airport,Jaguaruna,BR,SA,120
Darchula Airport,Darchula,NP,AS,2132
Rizhao Shanzihe Airport,Rizhao,CN,AS,121
Frank Pais International Airport,Holguin,CU,NA,361
Birdsville Airport,,AU,OC,159
Port Hardy Airport,Port Hardy,CA,NA,71
Robert Gabriel Mugabe International Airport,Harare,ZW,AF,4887
Hawthorne Industrial Airport,Hawthorne,US,NA,4215
Bram Fischer International Airport,Bloemfontain,ZA,AF,4458
Decimomannu Air Base,Decimomannu,IT,EU,100
Mangochi Airport,Mangochi,MW,AF,1580
Khabarovsk-Novy Airport,Khabarovsk,RU,AS,244
Texas Gulf Coast Regional Airport,Angleton/Lake Jackson,US,NA,25
Kimberley Airport,Kimberley,ZA,AF,3950
Barreirinhas Airport,,BR,SA,40
Zorg en Hoop Airport,Paramaribo,SR,SA,10
Jinzhou Airport,Jinzhou,CN,AS,
Fairchild Air Force Base,Spokane,US,NA,2461
Princess Juliana International Airport,Saint Martin,SX,NA,13
Terrace Bay Airport,Terrace Bay,NA,AF,32
Monte Dourado Airport,Almeirim,BR,SA,677
Komodo Airport,Labuan Bajo - Flores Island,ID,AS,66
Wilgrove Air Park,Charlotte,US,NA,799
Qurghonteppa International Airport,Kurgan-Tyube,TJ,AS,1473
Sacramento International Airport,Sacramento,US,NA,27
Méndez Airport,Santiago de Méndez,EC,SA,1770
Sept-Îles Airport,Sept-Îles,CA,NA,180
Wynyard Airport,Burnie,AU,OC,62
Trenton Mercer Airport,Trenton,US,NA,213
Abaco I Walker C Airport,,BS,NA,10
Frank Wiley Field,Miles City,US,NA,2630
Barra del Colorado Airport,Pococi,CR,NA,3
Santa Cruz Airport,Santa Cruz,AR,SA,364
Losuia Airport,Losuia,PG,OC,27
Cheraw Municipal Airport/Lynch Bellinger Field,Cheraw,US,NA,239
Tabou Airport,Tabou,CI,AF,39
Shawnee Regional Airport,Shawnee,US,NA,1073
Higuerote Airport,Higuerote,VE,SA,12
Kenema Airport,Kenema,SL,AF,485
Pretoria Central Heliport,Pretoria,ZA,AF,4087
Blubber Bay Seaplane Base,Blubber Bay,CA,NA,0
Batouri Airport,Batouri,CM,AF,2152
Falcon State Airport,Roma,US,NA,358
Canton Municipal Airport,Canton,US,NA,1290
Warangal Airport,Warangal,IN,AS,935
Mount Full Stop Airport,Wando Vale,AU,OC,1918
Le Mans-Arnage Airport,Le Mans/Arnage,FR,EU,194
Warwick Airport,,AU,OC,1500
Tafaraoui Airport,,DZ,AF,367
Igor I Sikorsky Memorial Airport,Bridgeport,US,NA,9
Barcaldine Airport,Barcaldine,AU,OC,878
Dirranbandi Airport,,AU,OC,567
Wanuma Airport,Wanuma,PG,OC,2260
Hsinchu Air Base,Hsinchu City,TW,AS,26
Kryvyi Rih International Airport,Kryvyi Rih,UA,EU,408
Wheeler Army Airfield,Wahiawa,US,NA,837
Tangalooma Airport,,AU,OC,
Rourkela Airport,,IN,AS,659
Handan Airport,Handan,CN,AS,229
Mc Alester Regional Airport,Mc Alester,US,NA,770
Negril Airport,Negril,JM,NA,9
Catania-Fontanarossa Airport,Catania,IT,EU,39
Machado Airport,Machado,BR,SA,2969
Bandar Abbas International Airport,Bandar Abbas,IR,AS,22
Pine Ridge Airport,Pine Ridge,US,NA,3333
Savannah Hilton Head International Airport,Savannah,US,NA,50
Mount Pleasant Municipal Airport,Mount Pleasant,US,NA,730
Lastourville Airport,Lastourville,GA,AF,1585
Sokcho (Mulchi Airfield) (G-407/K-50) Airport,"Jangsan-ri, Ganghyeon-myeon",KR,AS,92
La Chinita International Airport,Maracaibo,VE,SA,239
Pontes e Lacerda Airport,Pontes e Lacerda,BR,SA,870
Butaritari Atoll Airport,Butaritari Atoll,KI,OC,5
Bandeirantes Airport,Bandeirantes,BR,SA,1319
Leonard M Thompson International Airport,Marsh Harbour,BS,NA,6
Assab International Airport,Asab,ER,AF,46
Henderson Field,Sand Island,UM,OC,13
Heidelberg Army Helicopter Base,Heidelberg,DE,EU,
Bonnechere Airport,Killaloe,CA,NA,595
Port Bouet Airport,Abidjan,CI,AF,21
Goroka Airport,Goronka,PG,OC,5282
Scarlett Martinez International Airport,Río Hato,PA,NA,105
Barth Airport,,DE,EU,23
Chios Island National Airport,Chios Island,GR,EU,15
Carlton Hill Airport,Carlton Hill,AU,OC,
Nal Airport,Bikaner,IN,AS,750
Theodore Airport,,AU,OC,171
Campbell River Airport,Campbell River,CA,NA,346
Nukutavake Airport,Nukutavake,PF,OC,17
Sarakhs Airport,Sarakhs,IR,AS,945
Cape Orford Airport,,PG,OC,20
Camballin Airport,Myroodah,AU,OC,
Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,CA,NA,121
Delma Airport,Delma Island,AE,AS,30
Memorial Field,Hot Springs,US,NA,540
Antoine de Saint Exupéry Airport,San Antonio Oeste,AR,SA,85
Offutt Air Force Base,Omaha,US,NA,1052
Captain Rogelio Castillo National Airport,Celaya,MX,NA,5709
Hector International Airport,Fargo,US,NA,902
Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie St Thomas,VI,NA,
Nangasuri Airport,Maikoor Island,ID,AS,82
Na-San Airport,Son-La,VN,AS,2133
Potchefstroom Airport,Potchefstroom,ZA,AF,4520
Ilulissat Airport,Ilulissat,GL,NA,95
San Javier Airport,San Javier,BO,SA,1702
Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,US,NA,13
Monaco Heliport,Fontvieille,MC,EU,20
Rumginae Airport,,PG,OC,160
Montauban Airport,Montauban,FR,EU,351
San Ramón Airport,San Ramón / Mamoré,BO,SA,698
Poum Airport,Poum,NC,OC,6
Al Ahsa Airport,,SA,AS,588
Jaisalmer Airport,,IN,AS,751
Birao Airport,Birao,CF,AF,1696
Kunming Changshui International Airport,Kunming,CN,AS,6903
Lehu Airport,Lehu,PG,OC,1770
Zaysan Airport,Zaysan,KZ,AS,1877
Toliara Airport,,MG,AF,29
Kasba Lake Airport,Kasba Lake,CA,NA,1131
St. Theresa Point Airport,St. Theresa Point,CA,NA,773
Maio Airport,Vila do Maio,CV,AF,36
Kiffa Airport,Kiffa,MR,AF,424
Ust-Ilimsk Airport,Ust-Ilimsk,RU,AS,1339
Lima Allen County Airport,Lima,US,NA,975
Corcoran Airport,Corcoran,US,NA,197
Adam Airport,Adam,OM,AS,1075
Dangriga Airport,Dangriga,BZ,NA,508
Trompeteros Airport,Corrientes,PE,SA,427
Wanaka Airport,,NZ,OC,1142
St. John's International Airport,St. John's,CA,NA,461
Schenck Field,Clarinda,US,NA,996
Aghajari Airport,Aghajari,IR,AS,88
Drummond Airport,Drummond,US,NA,4245
Windarling Airport,Windarling Mine,AU,OC,1502
La Guaira Airport,La Guaira,VE,SA,2569
Melfi Airport,Melfi,TD,AF,1293
Nanki Shirahama Airport,Shirahama,JP,AS,298
Normans Cay Airport,,BS,NA,8
Foya Airport,Foya,LR,AF,1480
Köthen Airport,Köthen,DE,EU,305
Al Ain International Airport,Al Ain,AE,AS,869
Thaba Nchu Tar Airport,Homeward,ZA,AF,4941
Marshall Don Hunter Sr Airport,Marshall,US,NA,103
Kalbarri Airport,Kalbarri,AU,OC,157
Kandep Airport,Kandep,PG,OC,7710
Bermuda Dunes Airport,Palm Springs,US,NA,73
Port Williams Seaplane Base,Port Williams,US,NA,0
Pantelleria Airport,Pantelleria (TP),IT,EU,628
Odate Noshiro Airport,Odate,JP,AS,292
Saïss Airport,Fes,MA,AF,1900
Marsa Brega Airport,,LY,AF,50
Tacuarembo Airport,Tacuarembo,UY,SA,440
Kithira Airport,Kithira Island,GR,EU,1045
Saint-Laurent-du-Maroni Airport,Saint-Laurent-du-Maroni,GF,SA,16
Roy Otten Memorial Airfield,Versailles,US,NA,1030
Zapala Airport,Zapala,AR,SA,3330
Chinggis Khaan International Airport,Ulan Bator,MN,AS,4364
Tomanggong Airport,Tomanggong,MY,AS,26
Natashquan Airport,Natashquan,CA,NA,39
Port Allen Airport,Hanapepe,US,NA,24
Fernando de Noronha Airport,Fernando De Noronha,BR,SA,193
Aguas Claras Airport,Ocaña,CO,SA,3850
A L Mangham Jr. Regional Airport,Nacogdoches,US,NA,355
Mid-Carolina Regional Airport,Salisbury,US,NA,772
Torres Airport,Torres,BR,SA,26
Bremerton National Airport,Bremerton,US,NA,444
Mondulkiri Airport,Sen Monorom,KH,AS,
Dakhla Airport,Dakhla,EH,AF,36
Mamburao Airport,,PH,AS,13
French Lick Municipal Airport,French Lick,US,NA,792
Paruma Airport,Paruma,GY,SA,1765
Roswell International Air Center Airport,Roswell,US,NA,3671
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",,VE,SA,197
Berdyansk Airport,Berdyansk,UA,EU,171
Keningau Airport,Keningau,MY,AS,1036
Koinambe Airport,Konambe,PG,OC,3000
Chubu Centrair International Airport,Tokoname,JP,AS,15
Napperby Airport,Napperby,AU,OC,2135
Manono Airport,Manono,CD,AF,2077
Bundaberg Airport,Bundaberg,AU,OC,107
San Diego International Airport,San Diego,US,NA,17
Ramon Air Base,Beersheba,IL,AS,2126
Newquay Cornwall Airport,Newquay,GB,EU,390
Gan International Airport,Gan,MV,AS,6
Zenata – Messali El Hadj Airport,Tlemcen,DZ,AF,814
Oceana Naval Air Station,Virginia Beach,US,NA,23
Baibara Airport,Nabai,PG,OC,15
Quaqtaq Airport,Quaqtaq,CA,NA,103
Minami-Daito Airport,Minamidaitō,JP,AS,167
Prairie Du Chien Municipal Airport,Prairie Du Chien,US,NA,661
St Petersburg Clearwater International Airport,St Petersburg-Clearwater,US,NA,11
Baudette International Airport,Baudette,US,NA,1086
Central Jersey Regional Airport,Manville,US,NA,86
Tindouf Airport,Tindouf,DZ,AF,1453
Poplar River Airport,Poplar River,CA,NA,728
Contadora Airport,Contadora Island,PA,NA,14
Dysart Airport,,AU,OC,670
Changzhou Benniu Airport,Changzhou,CN,AS,
Aden International Airport,Aden,YE,AS,7
Ceres Airport,Ceres,BR,SA,1962
Princeton Airport,Princeton/Rocky Hill,US,NA,128
Walnut Ridge Regional Airport,Walnut Ridge,US,NA,279
Usina Mandu Airport,Guaíra,BR,SA,1597
Godthaab / Nuuk Airport,Nuuk,GL,NA,283
Santo Pekoa International Airport,Luganville,VU,OC,184
Lindi Airport,Lindi,TZ,AF,100
Kotabangun Airport,Kotabangun-Borneo Island,ID,AS,13
Mehrabad International Airport,Tehran,IR,AS,3962
Ibadan Airport,Ibadan,NG,AF,725
El Bolson Airport,El Bolson,AR,SA,1141
Scarlett Martinez International Airport,Río Hato,PA,NA,105
Long Pasia Airport,Long Miau,MY,AS,3175
Klokovo Airfield,Tula,RU,EU,499
Caruaru Airport,Caruaru,BR,SA,1891
Mweka Airport,Mweka,CD,AF,1968
Francisco De Orellana Airport,Coca,EC,SA,834
Lviv International Airport,Lviv,UA,EU,1071
Udon Thani Airport,Udon Thani,TH,AS,579
Jérémie Airport,Jeremie,HT,NA,147
Mal Airport,Mal Island,PG,OC,6
Grantsburg Municipal Airport,Grantsburg,US,NA,927
Pilot Station Airport,Pilot Station,US,NA,305
Homestead ARB Airport,Homestead,US,NA,5
Mayne Island Seaplane Base,Miners Bay,CA,NA,
Awassa Airport,Awassa,ET,AF,5450
Naval Air Station Key West/Boca Chica Field,Key West,US,NA,6
Trona Airport,Trona,US,NA,1716
Corcoran Airport,Corcoran,US,NA,197
Dansville Municipal Airport,Dansville,US,NA,662
Tri-State/Milton J. Ferguson Field,Huntington,US,NA,828
Geladi Airport,Geladi,ET,AF,1383
Kneeland Airport,Eureka,US,NA,2737
Araguaiana Airport,Araguaiana,BR,SA,994
Tiksi Airport,Tiksi,RU,AS,26
Dunbar Airport,,AU,OC,15
Yakutat Airport,Yakutat,US,NA,33
Saratov Central Airport,Saratov,RU,EU,499
Andizhan Airport,Andizhan,UZ,AS,1515
Provideniya Bay Airport,Chukotka,RU,EU,72
Rzhevka Airport,St. Petersburg,RU,EU,56
Al-Bayda Airport,Al-Bayda,YE,AS,6120
Antonio Nery Juarbe Pol Airport,Arecibo,PR,NA,23
Golfo de Morrosquillo Airport,Tolú,CO,SA,16
Hultsfred Airport,,SE,EU,366
Senai International Airport,Johor Bahru,MY,AS,135
