airportName,airporCity,airportCountryCode,airportContinent,airporElevation
Sancti Spiritus Airport,Sancti Spiritus,CU,NA,295
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,DZ,AF,1303
Chandalar Lake Airport,Chandalar Lake,US,NA,1920
Oeiras Airport,Oeiras,BR,SA,820
Ararat Airport,,AU,OC,1008
Dublin Airport,Dublin,IE,EU,242
Taylor Airport,Taylor,US,NA,5823
Farewell Airport,Farewell,US,NA,1535
Roboré Airport,Roboré,BO,SA,905
Zhoushan Airport,Zhoushan,CN,AS,3
Henderson Executive Airport,Las Vegas,US,NA,2492
Zonalnoye Airport,Tymovskoye,RU,AS,479
Bateen Airport,,AE,AS,16
Baise Youjiang Airport,Baise,CN,AS,490
Rendani Airport,Manokwari-Papua Island,ID,AS,23
Tum Airport,Tum,ET,AF,4700
San Cristobal de las Casas Airport,San Cristobal de las Casas,MX,NA,7707
Yibin Caiba Airport,Yibin,CN,AS,924
Brandon Municipal Airport,Brandon,CA,NA,1343
Aramac Airport,,AU,OC,232
St. Theresa Point Airport,St. Theresa Point,CA,NA,773
Mehrabad International Airport,Tehran,IR,AS,3962
Lakeland Airport,Lakeland Downs,AU,OC,930
Parndana Airport,Kangaroo Island,AU,OC,545
Republic Airport,Farmingdale,US,NA,82
Helgoland-Düne Airport,Helgoland,DE,EU,8
Erie International Tom Ridge Field,Erie,US,NA,732
General Pedro Jose Mendez International Airport,Ciudad Victoria,MX,NA,761
Sertanópolis Airport,Sertanópolis,BR,SA,1181
Miri Airport,Miri,MY,AS,59
Balkanabat Airport,Balkanabat,TM,AS,5
Kiwai Airport,Kiwai Island,PG,OC,30
Ottumwa Regional Airport,Ottumwa,US,NA,845
Long Apung Airport,Long Apung-Borneo Island,ID,AS,627
Capital City Airport,Lansing,US,NA,861
Sainte Marie Airport,,MG,AF,7
Moroak Airport,Moroak,AU,OC,227
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,AQ,AN,147
Donnelly Airport,Donnelly,CA,NA,1949
Tarapaina Airport,Tarapaina,SB,OC,80
Roscommon County - Blodgett Memorial Airport,Houghton Lake,US,NA,1150
Manokotak Airport,Manokotak,US,NA,100
Galegu Airport,Dinder,SD,AF,1640
Noonkanbah Airport,,AU,OC,
General Villamil Airport,Isabela,EC,SA,35
Union Island International Airport,Union Island,VC,NA,16
Shigatse Air Base,Xigazê,CN,AS,3782
Cataratas International Airport,Foz Do Iguaçu,BR,SA,786
Pécs-Pogány Airport,Pécs-Pogány,HU,EU,1000
Bob Hope Airport,Burbank,US,NA,778
Taipei Songshan Airport,Taipei City,TW,AS,18
Marin County Airport - Gnoss Field,Novato,US,NA,2
Priština International Airport,Prishtina,XK,EU,1789
Nikolski Air Station,Nikolski,US,NA,77
Appleton International Airport,Appleton,US,NA,918
Akiak Airport,Akiak,US,NA,30
Anthony Lagoon Airport,,AU,OC,
Mersing Airport,Mersing,MY,AS,10
Truth Or Consequences Municipal Airport,Truth Or Consequences,US,NA,4853
Elko Regional Airport,Elko,US,NA,5140
Lesobeng Airport,Lesobeng,LS,AF,7130
Nara Airport,Nara,ML,AF,889
Castlegar/West Kootenay Regional Airport,Castlegar,CA,NA,1624
Croydon Airport,,AU,OC,107
Gulfport Biloxi International Airport,Gulfport,US,NA,28
Khatgal Airport,Hatgal,MN,AS,5500
Aerodromo de Chaves,Chaves,PT,EU,1181
Palenque International Airport,,MX,NA,200
Nhon Co Airfield,Quang Duc,VN,AS,2270
Aua Island Airport,Aua Island,PG,OC,4
Orchid Beach Airport,Orchid Beach,AU,OC,71
Puerto Rico Airport,Puerto Rico/Manuripi,BO,SA,597
Loakan Airport,Baguio City,PH,AS,4251
Tadjoura Airport,Tadjoura,DJ,AF,246
Siegerland Airport,,DE,EU,1966
Heiweni Airport,Heiweni,PG,OC,3480
Suki Airport,Suki,PG,OC,24
Brackett Field,La Verne,US,NA,1011
Mopti Airport,,ML,AF,906
Lukla Airport,Lukla,NP,AS,9380
Haelogo Airport,Haelogo,PG,OC,3217
Key Lake Airport,Key Lake,CA,NA,1679
Bazhong Enyang Airport,Bazhong,CN,AS,1804
Sidney Municipal Airport,Sidney,US,NA,1027
Cherrabun Airport,,AU,OC,540
De La Independencia Airport,Rancagua,CL,SA,1446
Cairns International Airport,Cairns,AU,OC,10
Tshabong Airport,Tshabong,BW,AF,3179
Centralia / James T. Field Memorial Aerodrome,Centralia,CA,NA,824
Pakse International Airport,Pakse,LA,AS,351
Constanza - Expedición 14 de Junio National Airport,Costanza,DO,NA,3950
Helsinki Vantaa Airport,Helsinki,FI,EU,179
Echuca Airport,,AU,OC,323
Red Lake Airport,Red Lake,CA,NA,1265
Bandon State Airport,Bandon,US,NA,122
El Mirador Airport,Puerto Varas,CL,SA,430
Lemhi County Airport,Salmon,US,NA,4043
Manatee Airport,,BZ,NA,343
Mejit Atoll Airport,Mejit Atoll,MH,OC,5
Mendi Airport,Mendi,ET,AF,5500
Pweto Airport,Pweto,CD,AF,3425
Pavlodar Airport,Pavlodar,KZ,AS,410
Gorgan Airport,Gorgan,IR,AS,-24
Chub Cay Airport,,BS,NA,5
Leeward Point Field,Guantanamo Bay Naval Station,CU,NA,56
Aden International Airport,Aden,YE,AS,7
General Manuel Serrano Airport,Machala,EC,SA,11
Windarra Airport,,AU,OC,
Pointe-à-Pitre Le Raizet,Pointe-à-Pitre,GP,NA,36
Coolawanyah Airport,Coolawanyah Station,AU,OC,1195
Playa Grande Airport,Playa Grande,GT,NA,577
Dhanbad Airport,,IN,AS,847
Mayumba Airport,Mayumba,GA,AF,13
Deadman's Cay Airport,Deadman's Cay,BS,NA,9
San Cristobal de las Casas Airport,San Cristobal de las Casas,MX,NA,7707
Verkhnevilyuisk Airport,Verkhnevilyuisk,RU,AS,411
Yangon International Airport,Yangon,MM,AS,109
São Gabriel da Cachoeira Airport,São Gabriel Da Cachoeira,BR,SA,251
Isla de Tigre  Heliport,Isla de Tigre,VE,SA,20
Eastmain River Airport,Eastmain River,CA,NA,24
Okondja Airport,Okondja,GA,AF,1325
Coposa Airport,Pica,CL,SA,12468
St Leonard Airport,St Leonard,CA,NA,793
Abadan Airport,Abadan,IR,AS,10
Eday Airport,Eday,GB,EU,10
Pope Field,Greenfield,US,NA,895
Melbourne International Airport,Melbourne,AU,OC,434
Naryan Mar Airport,Naryan Mar,RU,EU,36
Grenchen Airport,Grenchen,CH,EU,1411
Pilot Station Airport,Pilot Station,US,NA,305
Mount Hagen Kagamuga Airport,Mount Hagen,PG,OC,5388
Rio Frio / Progreso Airport,Rio Frio / Progreso,CR,NA,350
Cuito Cuanavale Airport,Cuito Cuanavale,AO,AF,
Abu Simbel Airport,Abu Simbel,EG,AF,616
Diqing Airport,Shangri-La,CN,AS,10761
Brunswick Golden Isles Airport,Brunswick,US,NA,26
Maku National Airport,Showt,IR,AS,
Ruby Airport,Ruby,US,NA,658
Morehead Airport,Morehead,PG,OC,100
Seward Airport,Seward,US,NA,22
Perth/Scone Airport,Perth,GB,EU,397
Tanga Airport,Tanga,TZ,AF,129
Delta County Airport,Escanaba,US,NA,609
Gerardo Tobar López Airport,Buenaventura,CO,SA,48
Meekatharra Airport,,AU,OC,1713
